,title,url,Unnamed: 2
67,President Trump and Coronavirus Task Force update on states reopening | USA TODAY,https://www.youtube.com/watch?v=1QwehaaJrEQ,
68,Trump and Biden argue on COVID-19 at first presidential debate | USA TODAY,https://www.youtube.com/watch?v=lZQ-N0OQ_K4,
69,Gov. Andrew Cuomo addresses latest stats of coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=ku-Xj7N8buA,
72,"President Trump and coronavirus task force update on pandemic, Friday, April 10 | USA TODAY",https://www.youtube.com/watch?v=xwVl-WMOUkQ,
73,"Coronavirus task force on the U.S. death toll surpassing 40,000 | USA TODAY",https://www.youtube.com/watch?v=Tbkm62RdIjY,
74,"COVID-19's impact on our mental health | Coronavirus Conversations, EP7",https://www.youtube.com/watch?v=nz_fJSYcHvI,
76,World Health Organization won't categorize coronavirus as global health emergency | USA TODAY,https://www.youtube.com/watch?v=CY44rs5R0Eo,
77,Coronavirus: Can pets transfer COVID-19 to people? | Just The FAQs: Deep Dive,https://www.youtube.com/watch?v=sgTUFsO1U3s,
78,How COVID-19 affects US livestock supply chain | USA TODAY,https://www.youtube.com/watch?v=FmG-5UtUkSc,
79,White House addresses coronavirus as U.S. death toll rises | USA TODAY,https://www.youtube.com/watch?v=NU-l2Pek4tg,
80,"White House coronavirus task force briefing, Thursday, April 23 | USA TODAY",https://www.youtube.com/watch?v=MrFqKEJwVF4,
81,Coronavirus puts small colleges in a tough spot | USA TODAY,https://www.youtube.com/watch?v=CS7LJTinS8k,
82,CDC gives updates on Americans who fled coronavirus outbreak in China | USA TODAY,https://www.youtube.com/watch?v=AQPxuIbgo9k,
83,Hospital throws wedding for COVID patient | Humankind,https://www.youtube.com/watch?v=RWZ7Cg294Qw,
85,Iowa students unsure about in-person school year | Coronavirus Chronicles,https://www.youtube.com/watch?v=O3ACLM_-DJs,
86,Why social distancing is critical to curbing the coronavirus pandemic | Just The FAQs,https://www.youtube.com/watch?v=S88PRhScePI,
87,"SNL: Mike Pence, Democrats tackle coronavirus | USA TODAY",https://www.youtube.com/watch?v=-LW3cNjWNrs,
89,Quarantined coronavirus patient details life since testing positive | USA TODAY,https://www.youtube.com/watch?v=dhWtpj0WzrE,
91,Trump announces plan to distribute 150 million rapid COVID-19 tests in coming weeks | USA TODAY,https://www.youtube.com/watch?v=nCFLACGlVyE,
92,Paul Rudd jokes about eternal youth in new COVID-19 PSA video | USA TODAY,https://www.youtube.com/watch?v=GcNfHnnjvSk,
94,"How to save money during these difficult times | Coronavirus Conversations, EP10",https://www.youtube.com/watch?v=hYMLc5hJrGA,
95,A mother flees domestic violence amid the coronavirus pandemic | Coronavirus Chronicles,https://www.youtube.com/watch?v=U2NkbR2JjRY,
96,The Coronavirus Task Force provides further updates on pandemic | USA TODAY,https://www.youtube.com/watch?v=UjHTyV-bh-0,
97,WHO delivers briefing on coronavirus | USA TODAY,https://www.youtube.com/watch?v=0yQKbiMPsiY,
98,President Trump holds briefing on coronavirus testing | USA TODAY,https://www.youtube.com/watch?v=ShO9tl9Ep1M,
102,High school seniors missing experiences due to a shortened year | Coronavirus Chronicles,https://www.youtube.com/watch?v=JEIzUBWGmJ0,
103,Why unapproved drugs like remdesivir are being used to treat coronavirus | Just The FAQs: Deep Dive,https://www.youtube.com/watch?v=QWmfiMtsw3w,
